VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee,LocationID_DO,lat_DO,lng_DO,LocationID_PU,lat_PU,lng_PU,timestamp
2,2022-01-02 07:15:47,2022-01-02 07:39:27,5.0,17.99,2.0,N,132,42,2,52.0,0.0,0.5,0.0,6.55,0.3,60.6,0.0,1.25,42,40.82104621409778,-73.93951646931666,132,40.642604521718,-73.77826365890199,2022-01-02 07:39:27 - 2022-01-02 07:15:47
1,2022-01-02 07:18:23,2022-01-02 07:42:26,1.0,17.5,2.0,N,132,42,1,52.0,1.25,0.5,0.0,6.55,0.3,60.6,0.0,1.25,42,40.82104621409778,-73.93951646931666,132,40.642604521718,-73.77826365890199,2022-01-02 07:42:26 - 2022-01-02 07:18:23
1,2022-01-02 07:05:18,2022-01-02 07:37:27,1.0,20.0,2.0,N,132,166,1,52.0,1.25,0.5,9.09,6.55,0.3,69.69,0.0,1.25,166,40.80957022827245,-73.96181526438258,132,40.642604521718,-73.77826365890199,2022-01-02 07:37:27 - 2022-01-02 07:05:18
2,2022-01-02 07:16:13,2022-01-02 07:47:48,1.0,18.16,2.0,N,132,68,1,52.0,0.0,0.5,2.0,6.55,0.3,65.1,2.5,1.25,68,40.74839722483199,-73.99994015650746,132,40.642604521718,-73.77826365890199,2022-01-02 07:47:48 - 2022-01-02 07:16:13
2,2022-01-02 07:37:56,2022-01-02 08:08:06,1.0,17.92,2.0,N,132,68,1,52.0,0.0,0.5,5.0,6.55,0.3,68.1,2.5,1.25,68,40.74839722483199,-73.99994015650746,132,40.642604521718,-73.77826365890199,2022-01-02 08:08:06 - 2022-01-02 07:37:56
2,2022-01-02 07:41:36,2022-01-02 08:13:42,1.0,18.63,2.0,N,132,163,1,52.0,0.0,0.5,12.62,6.55,0.3,75.72,2.5,1.25,163,40.76442545340527,-73.97836698802045,132,40.642604521718,-73.77826365890199,2022-01-02 08:13:42 - 2022-01-02 07:41:36
2,2022-01-02 07:25:22,2022-01-02 07:54:13,1.0,18.78,2.0,N,132,87,1,52.0,0.0,0.5,5.66,0.0,0.3,62.21,2.5,1.25,87,40.70665961735619,-74.00781211638652,132,40.642604521718,-73.77826365890199,2022-01-02 07:54:13 - 2022-01-02 07:25:22
2,2022-01-02 07:52:29,2022-01-02 08:21:26,3.0,19.09,2.0,N,132,141,1,52.0,0.0,0.5,6.31,6.55,0.3,69.41,2.5,1.25,141,40.76683881658485,-73.95971267878048,132,40.642604521718,-73.77826365890199,2022-01-02 08:21:26 - 2022-01-02 07:52:29
2,2022-01-02 07:51:11,2022-01-02 08:17:26,1.0,17.25,2.0,N,132,229,1,52.0,0.0,0.5,10.0,6.55,0.3,73.1,2.5,1.25,229,40.7565892984895,-73.96517419892118,132,40.642604521718,-73.77826365890199,2022-01-02 08:17:26 - 2022-01-02 07:51:11
2,2022-01-02 07:27:39,2022-01-02 07:53:23,1.0,17.8,2.0,N,132,229,1,52.0,0.0,0.5,8.2,6.55,0.3,71.3,2.5,1.25,229,40.7565892984895,-73.96517419892118,132,40.642604521718,-73.77826365890199,2022-01-02 07:53:23 - 2022-01-02 07:27:39
2,2022-01-02 07:54:52,2022-01-02 08:20:15,2.0,17.84,2.0,N,132,90,1,52.0,0.0,0.5,12.37,6.55,0.3,75.47,2.5,1.25,90,40.74254616066139,-73.99677751239638,132,40.642604521718,-73.77826365890199,2022-01-02 08:20:15 - 2022-01-02 07:54:52
2,2022-01-02 07:39:29,2022-01-02 08:10:32,1.0,18.45,2.0,N,132,90,1,52.0,0.0,0.5,12.62,6.55,0.3,75.72,2.5,1.25,90,40.74254616066139,-73.99677751239638,132,40.642604521718,-73.77826365890199,2022-01-02 08:10:32 - 2022-01-02 07:39:29
2,2022-01-02 07:45:13,2022-01-02 08:15:10,1.0,18.73,2.0,N,132,90,2,52.0,0.0,0.5,0.0,6.55,0.3,63.1,2.5,1.25,90,40.74254616066139,-73.99677751239638,132,40.642604521718,-73.77826365890199,2022-01-02 08:15:10 - 2022-01-02 07:45:13
2,2022-01-02 07:08:06,2022-01-02 07:36:40,3.0,18.58,2.0,N,132,79,2,52.0,0.0,0.5,0.0,0.0,0.3,56.55,2.5,1.25,79,40.727944278904765,-73.9852141243977,132,40.642604521718,-73.77826365890199,2022-01-02 07:36:40 - 2022-01-02 07:08:06
2,2022-01-02 07:39:10,2022-01-02 08:01:52,1.0,17.46,2.0,N,132,79,1,52.0,0.0,0.5,11.06,0.0,0.3,67.61,2.5,1.25,79,40.727944278904765,-73.9852141243977,132,40.642604521718,-73.77826365890199,2022-01-02 08:01:52 - 2022-01-02 07:39:10
2,2022-01-02 07:52:07,2022-01-02 08:17:26,1.0,17.37,2.0,N,132,79,1,52.0,0.0,0.5,12.37,6.55,0.3,75.47,2.5,1.25,79,40.727944278904765,-73.9852141243977,132,40.642604521718,-73.77826365890199,2022-01-02 08:17:26 - 2022-01-02 07:52:07
2,2022-01-02 07:29:06,2022-01-02 08:01:29,2.0,16.59,2.0,N,132,140,1,52.0,0.0,0.5,11.31,0.0,0.3,67.86,2.5,1.25,140,40.76550681823176,-73.95456804213481,132,40.642604521718,-73.77826365890199,2022-01-02 08:01:29 - 2022-01-02 07:29:06
